absoluto	adjective	absolute, unconditional	no me gustó en absoluto	I did not like it at all
olvidar	transitive verb	to forget, to forget about	olvida lo que pasó	forget about what happened
pagar	transitive verb	to pay (a bill), to pay for (a purchase), to pay off (a debt)	no sentence available	no sentence available
partir	transitive verb	to cut, to split	no sentence available	no sentence available
pasar	intransitive verb	to pass, to go	la gente que pasa	the people who are passing (by), the people who pass by
pedir	transitive verb	to ask for, to request	le pedí un préstamo a Claudia	I asked Claudia for a loan
pensar	intransitive verb	to think	pensar bien/mal de alguien	to think well/poorly of someone
perder	transitive verb	to lose	perdió las llaves	he lost his keys
permitir	transitive verb	to permit, to allow	no me permitió pasar	he wouldn't let me through
poner	transitive verb	to put, to place	pon el libro en la mesa	put the book on the table
preguntar	transitive verb	to ask, to question	no sentence available	no sentence available
preparar	transitive verb	to prepare	preparé el almuerzo	I made lunch, I got lunch ready
presentar	transitive verb	to present, to show	no sentence available	no sentence available
producir	transitive verb	to produce, to make, to manufacture	no sentence available	no sentence available
proponer	transitive verb	to propose, to suggest	no sentence available	no sentence available
quedar	intransitive verb	to remain, to stay	queda abierto hasta el 31	it will remain open until the 31st
querer	transitive verb	to want, to desire	quiere ser profesor	he wants to be a teacher
realizar	transitive verb	to carry out, to execute	no sentence available	no sentence available
recibir	transitive verb	to receive, to get	no sentence available	no sentence available
reconocer	transitive verb	to recognize	no sentence available	no sentence available
recordar	transitive verb	to recall, to remember	no sentence available	no sentence available
referir	transitive verb	to relate, to tell	nos refirió al diccionario	she referred us to the dictionary
repetir	transitive verb	to repeat	no sentence available	no sentence available
responder	transitive verb	to answer	no sentence available	no sentence available
resultar	intransitive verb	to work, to work out	mi idea no resultó	my idea didn't work out
sacar	transitive verb	to pull out, to take out	saca el pollo del congelador	take the chicken out of the freezer
salir	intransitive verb	to go out, to come out, to get out	salió del edificio	she came/went out of the building
seguir	transitive verb	to follow	el policía los siguió	the policeman followed them
señalar	transitive verb	to indicate, to show	no sentence available	no sentence available
servir	intransitive verb	to work, to be useful	esta máquina no sirve para nada	this machine is completely useless
soler	intransitive verb	to be in the habit of, to tend to	solía tomar café por la tarde	she usually drank coffee in the afternoon
subir	transitive verb	to bring/take/carry up, to lift up	subir el volumen	to turn up the volume
suceder	intransitive verb	to happen, to occur	¿qué sucede?	what's going on?
sufrir	transitive verb	to suffer	sufrir una pérdida	to suffer a loss
suponer	transitive verb	to suppose, to assume	supongo que sí	I guess so, I suppose so
tener	transitive verb	to have	tiene un coche azul	he has a blue car
terminar	transitive verb	to end, to conclude	no sentence available	no sentence available
tocar	transitive verb	to touch, to feel, to handle	no sentence available	no sentence available
tomar	transitive verb	to take	tomé el libro	I took the book
trabajar	intransitive verb	to work	trabaja mucho	he works hard
traer	transitive verb	to bring	trae una ensalada	bring a salad
tratar	intransitive verb	to deal with, to have contact with	no trato mucho con los clientes	I don't have much contact with customers
usar	transitive verb	to use, to make use of	lo usó de martillo	he used it as a hammer
utilizar	transitive verb	to use, to utilize	no sentence available	no sentence available
valer	transitive verb	to be worth	valen una fortuna	they're worth a fortune
venir	intransitive verb	to come	lo vi venir	I saw him coming
ver	transitive verb	to see	no veo nada	I can't see anything
vivir	intransitive verb	to live, to be alive	¡viva la democracia!	long live democracy!
volver	intransitive verb	to return, to come/go back	volver a casa	to return home
accesible	adjective	accessible, attainable	no sentence available	no sentence available
acelerado	adjective	accelerated, speedy	no sentence available	no sentence available
acomodado	adjective	suitable, appropriate	no sentence available	no sentence available
afín	adjective	related, similar	la biología y disciplinas afines	biology and related disciplines
afortunado	adjective	fortunate, lucky	no sentence available	no sentence available
alarmante	adjective	alarming	no sentence available	no sentence available
andaluz	adjective & noun	Andalusian	no sentence available	no sentence available
angustioso	adjective	anguished, distressed	no sentence available	no sentence available
árido	adjective	arid, dry	no sentence available	no sentence available
atroz	adjective	atrocious, appalling	no sentence available	no sentence available
bancario	adjective	bank, banking	no sentence available	no sentence available
bélico	adjective	war, fighting, military	conflicto bélico	armed conflict
bendito	adjective	blessed, holy	no sentence available	no sentence available
bíblico	adjective	biblical	no sentence available	no sentence available
callejero	adjective	street	perro callejero	stray dog
caprichoso	adjective	capricious, fickle	no sentence available	no sentence available
carente	adjective	lacking (in)	no sentence available	no sentence available
cerebral	adjective	cerebral	no sentence available	no sentence available
clínico	adjective	clinical	no sentence available	no sentence available
colombiano	adjective & noun	Colombian	no sentence available	no sentence available
colorado	adjective	red	no sentence available	no sentence available
combinado	masculine noun	cocktail	no sentence available	no sentence available
comprensivo	adjective	understanding	no sentence available	no sentence available
congelado	adjective	frozen	no sentence available	no sentence available
constructivo	adjective	constructive	no sentence available	no sentence available
contundente	adjective	blunt	un objeto contundente	a blunt instrument
cordial	adjective	cordial, affable	no sentence available	no sentence available
corporal	adjective	corporal, bodily	no sentence available	no sentence available
crónico	adjective	chronic	no sentence available	no sentence available
decente	adjective	decent	no sentence available	no sentence available
eclesiástico	adjective	ecclesiastical, ecclesiastic	no sentence available	no sentence available
educado	adjective	polite, well-mannered	no sentence available	no sentence available
elocuente	adjective	eloquent	no sentence available	no sentence available
entusiasta	adjective	enthusiastic	no sentence available	no sentence available
esporádico	adjective	sporadic	no sentence available	no sentence available
estadístico	adjective	statistical	no sentence available	no sentence available
exento	adjective	exempt, free	no sentence available	no sentence available
extra	masculine noun	extra expense	paga extra	bonus
fértil	adjective	fertile, fruitful	no sentence available	no sentence available
frívolo	adjective	frivolous	no sentence available	no sentence available
frontal	adjective	frontal, head-on	un choque frontal	a head-on collision
geométrico	adjective	geometric, geometrical	no sentence available	no sentence available
grotesco	adjective	grotesque, hideous	no sentence available	no sentence available
guerrero	adjective	war, fighting	no sentence available	no sentence available
hispano	adjective	Hispanic	de habla hispana	Spanish-speaking
ilegal	adjective	illegal, unlawful	no sentence available	no sentence available
ilimitado	adjective	unlimited	no sentence available	no sentence available
impecable	adjective	impeccable, faultless	no sentence available	no sentence available
implacable	adjective	implacable, relentless	no sentence available	no sentence available
imponente	adjective	imposing, impressive	no sentence available	no sentence available
importado	adjective	imported	no sentence available	no sentence available
impreciso	adjective	imprecise, vague	no sentence available	no sentence available
inestable	adjective	unstable, unsteady	no sentence available	no sentence available
